Code CIS,Code ATC,Libellé ATC
63236206,R03DX09,Mépolizumab
65864619,R03DX09,Mépolizumab
66719612,R03DX09,Mépolizumab
67361794,R03DX09,Mépolizumab
64059844,A01AA,MÉDICAMENTS PROPHYLACTIQUES ANTICARIES
60681425,A01AA01,Fluorure de sodium
61189302,A01AA01,Fluorure de sodium
61460668,A01AA01,Fluorure de sodium
64351019,A01AA01,Fluorure de sodium
65183147,A01AA01,Fluorure de sodium
66929144,A01AA01,Fluorure de sodium
60635449,A01AA30,Associations (médicaments prophylactiques anticaries)
61587822,A01AA30,Associations (médicaments prophylactiques anticaries)
63274872,A01AA30,Associations (médicaments prophylactiques anticaries)
66424149,A01AA51,Fluorure de sodium en association
60529613,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
61709240,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
62305457,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
63231675,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
64397575,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
65294293,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
65450408,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
65602182,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
66226772,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
67644148,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
68574610,A01AB,ANTI-INFECTIEUX ET ANTISEPTIQUES POUR TRAITEMENT ORAL LOCAL
